						Joint element tag	Match?	JH	Peace
	8	제대로	_	_	O	O	1		
	9	된	_	_	O	O	1		
	10	교육을	_	_	O	O	1		
	11	받기를	_	_	O	O	1		
	12	정말	_	_	O	O	1		
	13	원하고	_	_	O	O	1		
	14	있으며,	_	_	O	O	1		
	15	그리고	_	_	O	O	1		
	16	그들은	_	_	O	O	1		
	17	그것이	_	_	O	O	1		
	18	무엇을	_	_	B-Enabled_situation	B-Enabled_situation	1	B-Enabled_situation	
	19	요구하는가를	_	_	I-Enabled_situation	I-Enabled_situation	1	I-Enabled_situation	
	20	알만한	_	_	I-Enabled_situation	I-Enabled_situation	1	I-Enabled_situation	
	21	충분한	충분하다.a	Sufficiency	O	O	1		
	22	상식을	_	_	B-Item	B-Item	1	B-Item	
	23	가지고	_	_	O	O	1		
	24	있다.	_	_	O	O	1		
									
11	#anno-id:512								
	#text:교육 기관은 조금도 양보하지 않고 상식과 맞서 싸울것이다.								
	0	교육	_	_	B-Side_1	B-Side_1	1	B-Side_1	
	1	기관은	_	_	I-Side_1	I-Side_1	1	I-Side_1	
	2	조금도	_	_	B-Duration	B-Manner	0	O	B-Manner
	3	양보하지	_	_	I-Duration	I-Manner	0	O	I-Manner
	4	않고	_	_	I-Duration	I-Manner	0	O	I-Manner
	5	상식과	_	_	B-Purpose	B-Side_2	0	B-Side_2	I-Manner
	6	맞서	_	_	I-Purpose	I-Side_2	0	I-Side_2	I-Manner
	7	싸울것이다.	싸우다.v	Hostile_encounter	O	O			
									
12	#anno-id:524								
	#text:그러나 우리들의 교육은 단순히 유능하고 양심적인, 다른 사람들의 손에 의해 진행되어 왔다.								
	0	그러나	_	_	O	O	1		
	1	우리들의	_	_	O	O	1		
	2	교육은	_	_	O	O	1		
	3	단순히	_	_	O	O	1		
	4	유능하고	유능하다.a	Expertise	O	O	1		
	5	양심적인,	_	_	O	O	1		
	6	다른	_	_	B-Protagonist	B-Protagonist	0	B-Focal_Participant	
	7	사람들의	_	_	I-Protagonist	I-Protagonist	0	I-Focal_Participant	
	8	손에	_	_	O	O	1		
	9	의해	_	_	O	O	1		
	10	진행되어	_	_	O	O	1		
	11	왔다.	_	_	O	O	1		
									
13	#anno-id:525								
	#text:이런 의미에서, 선생은 하나의 가정의에 비유될 수 있다.								
	0	이런	_	_	B-Circumstances	B-Circumstances	1	B-Circumstances	
	1	의미에서,	_	_	I-Circumstances	I-Circumstances	1	I-Circumstances	
	2	선생은	_	_	B-Entity	B-Entity	1	B-Entity	
	3	하나의	_	_	O	B-Role	0	B-Role	B-Event
	4	가정의에	_	_	B-Event	I-Role	0	I-Role	I-Event
	5	비유될	_	_	I-Event	B-Event	0	B-Event	
	6	수	수_있다.v	Capability	O	O	1		
	7	있다.	수_있다.v	Capability	O	O	1		
									
14	#anno-id:526								
	#text:이런 의미에서, 선생은 하나의 가정의에 비유될 수 있다.								
	0	이런	_	_	O	O	1		
	1	의미에서,	의미.n	Linguistic_meaning	O	O	1		
	2	선생은	_	_	O	O	1		
	3	하나의	_	_	O	O	1		
	4	가정의에	_	_	O	O	1		
	5	비유될	_	_	O	O	1		
	6	수	_	_	O	O	1		
	7	있다.	_	_	O	O	1		
									
15	#anno-id:552								
	#text:그것은 또한 정치인들이 유용하다고 여기는 일종의 모욕인데, 그 이유는 그것이 중요한 지지층을 위하여 친근한 태도를 보일 수 있도록 정치인들을 도와주기 때문이다.								
	0	그것은	_	_	O	O	1		
	1	또한	_	_	O	O	1		
	2	정치인들이	정치인.n	People_by_vocation	O	B-Person	0		B-Person
	3	유용하다고	_	_	O	O	1		
	4	여기는	_	_	O	O	1		
	5	일종의	_	_	O	O	1		
	6	모욕인데,	_	_	O	O	1		
	7	그	_	_	O	O	1		
	8	이유는	_	_	O	O	1		
	9	그것이	_	_	O	O	1		
	10	중요한	_	_	O	O	1		
	11	지지층을	_	_	O	O	1		
	12	위하여	_	_	O	O	1		
	13	친근한	_	_	O	O	1		
	14	태도를	_	_	O	O	1		
	15	보일	_	_	O	O	1		
	16	수	_	_	O	O	1		
	17	있도록	_	_	O	O	1		
	18	정치인들을	_	_	O	O	1		
	19	도와주기	_	_	O	O	1		
	20	때문이다.	_	_	O	O	1		
									
16	#anno-id:564								
	#text:이나라 전역에 흩어져 있는 많은 성공적인 학교들이 있고, 이들 중 일부는 가장 가난한 빈민가에 있고, 그리고 이들 학교들은 모두 우리에게 동일한 메시지를 보내고 있다.								
	0	이나라	_	_	B-Ground	B-Ground	1	B-Ground	
	1	전역에	전역.n	Locative_relation	O	I-Ground	0		I-Ground
	2	흩어져	_	_	O	O	0		B-Figures
	3	있는	_	_	O	O	1		I-Figures
	4	많은	_	_	O	B-Figures	1	B-Figures	I-Figures
	5	성공적인	_	_	O	I-Figures	1	I-Figures	I-Figures
	6	학교들이	_	_	B-Figures	I-Figures	1	I-Figures	I-Figures
	7	있고,	_	_	O	O	1		
	8	이들	_	_	O	O	1		
	9	중	_	_	O	O	1		
	10	일부는	_	_	O	O	1		
	11	가장	_	_	O	O	1		
	12	가난한	_	_	O	O	1		
	13	빈민가에	_	_	O	O	1		
	14	있고,	_	_	O	O	1		
	15	그리고	_	_	O	O	1		
	16	이들	_	_	O	O	1		
	17	학교들은	_	_	O	O	1		
	18	모두	_	_	O	O	1		
	19	우리에게	_	_	O	O	1		
	20	동일한	_	_	O	O	1		
	21	메시지를	_	_	O	O	1		
	22	보내고	_	_	O	O	1		
	23	있다.	_	_	O	O	1		
									
17	#anno-id:567								
	#text:이나라 전역에 흩어져 있는 많은 성공적인 학교들이 있고, 이들 중 일부는 가장 가난한 빈민가에 있고, 그리고 이들 학교들은 모두 우리에게 동일한 메시지를 보내고 있다.								
	0	이나라	_	_	O	O	1		
	1	전역에	_	_	O	O	1		
	2	흩어져	_	_	O	O	1		
	3	있는	_	_	O	O	1		
	4	많은	_	_	B-Descriptor	B-Descriptor	0	B-Descriptor	
	5	성공적인	_	_	I-Descriptor	I-Descriptor	0	I-Descriptor	
	6	학교들이	학교.n	Locale_by_use	O	B-Locale	0		B-Locale
	7	있고,	_	_	O	O	1		
	8	이들	_	_	O	O	1		
	9	중	_	_	O	O	1		
	10	일부는	_	_	O	O	1		
	11	가장	_	_	O	O	1		
	12	가난한	_	_	O	O	1		
	13	빈민가에	_	_	O	O	1		
	14	있고,	_	_	O	O	1		
	15	그리고	_	_	O	O	1		
	16	이들	_	_	O	O	1		
	17	학교들은	_	_	O	O	1		
	18	모두	_	_	O	O	1		
	19	우리에게	_	_	O	O	1		
	20	동일한	_	_	O	O	1		
	21	메시지를	_	_	O	O	1		
	22	보내고	_	_	O	O	1		
	23	있다.	_	_	O	O	1		
									
18	#anno-id:569								
	#text:이나라 전역에 흩어져 있는 많은 성공적인 학교들이 있고, 이들 중 일부는 가장 가난한 빈민가에 있고, 그리고 이들 학교들은 모두 우리에게 동일한 메시지를 보내고 있다.								
	0	이나라	_	_	O	O	1		
	1	전역에	-에.j	Locative_relation	O	O	1		
	2	흩어져	_	_	O	O	1		
	3	있는	_	_	O	O	1		
	4	많은	_	_	O	O	0	B-Figure	same as 16?
	5	성공적인	_	_	O	O	0	I-Figure	
	6	학교들이	_	_	O	O	0	I-Figure	
	7	있고,	_	_	O	O	1		
	8	이들	_	_	B-Figure	B-Figure	0		
	9	중	_	_	I-Figure	I-Figure	0		
	10	일부는	_	_	I-Figure	I-Figure	0		
	11	가장	_	_	B-Ground	B-Ground	1	B-Ground	
	12	가난한	_	_	I-Ground	I-Ground	1	I-Ground	
	13	빈민가에	_	_	I-Ground	I-Ground	1	I-Ground	
	14	있고,	_	_	O	O	1		
	15	그리고	_	_	O	O	1		
	16	이들	_	_	O	O	1		
	17	학교들은	_	_	O	O	1		
	18	모두	_	_	O	O	1		
	19	우리에게	_	_	O	O	1		
	20	동일한	_	_	O	O	1		
	21	메시지를	_	_	O	O	1		
	22	보내고	_	_	O	O	1		
	23	있다.	_	_	O	O	1		
									
19	#anno-id:570								
	#text:역으로, 다수의 성공적이지 못한 학교들이 있고, 우리는 교육 개혁에서 어떤 노력들이 이전에 실패했는지를 알고 있다.								
	0	역으로,	_	_	O	O	1		
	1	다수의	_	_	O	O	1		
	2	성공적이지	_	_	O	O	1		
	3	못한	_	_	O	O	1		
	4	학교들이	_	_	O	O	1		
	5	있고,	_	_	O	O	1		
	6	우리는	_	_	B-Event	O	0		
	7	교육	_	_	I-Event	O	1		
	8	개혁에서	_	_	I-Event	O	1		
	9	어떤	_	_	I-Event	B-Event	1	B-Event	
	10	노력들이	_	_	I-Event	I-Event	1	I-Event	
	11	이전에	이전.n	Time_vector	I-Event	B-Direction	0		B-Direction
	12	실패했는지를	_	_	I-Event	O	1		
	13	알고	_	_	I-Event	O	1		
	14	있다.	_	_	I-Event	O	1		
									
20	#anno-id:572								
	#text:역으로, 다수의 성공적이지 못한 학교들이 있고, 우리는 교육 개혁에서 어떤 노력들이 이전에 실패했는지를 알고 있다.								
	0	역으로,	_	_	O	O	1		
	1	다수의	_	_	O	O	1		
	2	성공적이지	_	_	O	O	1		
	3	못한	_	_	O	O	1		
	4	학교들이	_	_	O	O	1		
	5	있고,	_	_	O	O	1		
	6	우리는	_	_	O	O	1		
	7	교육	교육.n	Education_teaching	O	O	1		
	8	개혁에서	_	_	O	O	1		
	9	어떤	_	_	O	O	1		
	10	노력들이	_	_	O	O	1		
	11	이전에	_	_	O	O	1		
	12	실패했는지를	_	_	O	O	1		
	13	알고	_	_	O	O	1		
	14	있다.	_	_	O	O	1		
									
21	#anno-id:574								
	#text:역으로, 다수의 성공적이지 못한 학교들이 있고, 우리는 교육 개혁에서 어떤 노력들이 이전에 실패했는지를 알고 있다.								
	0	역으로,	_	_	O	O	1		
	1	다수의	_	_	O	O	1		
	2	성공적이지	_	_	O	O	1		
	3	못한	_	_	O	O	1		
	4	학교들이	_	_	O	O	1		
	5	있고,	_	_	O	O	1		
	6	우리는	_	_	O	O	1		
	7	교육	_	_	B-Goal	B-Domain	0	B-Circumstances	
	8	개혁에서	_	_	I-Goal	I-Domain	0	I-Circumstances	
	9	어떤	_	_	O	B-Attempt	0	B-Goal	
	10	노력들이	노력.n	Attempt	O	I-Attempt	0	I-Goal	B-Effort?
	11	이전에	_	_	O	B-Time	0		B-Time
	12	실패했는지를	_	_	O	B-Outcome	0		B-Outcome
	13	알고	_	_	O	O	1		
	14	있다.	_	_	O	O	1		
									
22	#anno-id:576								
	#text:역으로, 다수의 성공적이지 못한 학교들이 있고, 우리는 교육 개혁에서 어떤 노력들이 이전에 실패했는지를 알고 있다.								
	0	역으로,	_	_	O	O	0		B-Circumstances?
	1	다수의	_	_	B-Entity	B-Entity	1	B-Entity	
	2	성공적이지	_	_	I-Entity	I-Entity	1	I-Entity	
	3	못한	_	_	I-Entity	I-Entity	1	I-Entity	
	4	학교들이	_	_	I-Entity	I-Entity	1	I-Entity	
	5	있고,	있다.a	Existence	O	O	1		
	6	우리는	_	_	O	O	1		
	7	교육	_	_	O	O	1		
	8	개혁에서	_	_	O	O	1		
	9	어떤	_	_	O	O	1		
	10	노력들이	_	_	O	O	1		
	11	이전에	_	_	O	O	1		
	12	실패했는지를	_	_	O	O	1		
	13	알고	_	_	O	O	1		
	14	있다.	_	_	O	O	1		
									
23	#anno-id:591								
	#text:우리는 학교 교육에 매우 일찍 노출되는 것은 1학년에서의 성취도는 향상되지만, 이후 그 차이는 급속히 사라진다는 것을 알고 있다.								
	0	우리는	_	_	O	O	1		
	1	학교	_	_	O	O	1		
	2	교육에	_	_	O	O	1		
	3	매우	_	_	O	O	1		
	4	일찍	_	_	O	O	1		
	5	노출되는	_	_	O	O	1		
	6	것은	_	_	O	O	1		
	7	1학년에서의	_	_	O	O	1		
	8	성취도는	_	_	O	O	1		
	9	향상되지만,	_	_	O	O	1		
	10	이후	_	_	O	O	1		
	11	그	_	_	B-Theme	B-Theme	1	B-Theme	
	12	차이는	_	_	I-Theme	I-Theme	1	I-Theme	
	13	급속히	_	_	B-Manner	B-Manner	1	B-Manner	
	14	사라진다는	사라지다.v	Removing	O	O	1		
	15	것을	_	_	O	O	1		
	16	알고	_	_	O	O	1		
	17	있다.	_	_	O	O	1		
									
24	#anno-id:594								
	#text:부모들은 또한 그들 자녀들의 교육적 한계들에 대해 학교를 비난할 가능성이 있다.								
	0	부모들은	_	_	O	O	1		
	1	또한	_	_	O	O	1		
	2	그들	_	_	B-Ego	B-Ego	1	B-Ego	
	3	자녀들의	자녀.n	Kinship	O	O	1		
	4	교육적	_	_	O	O	1		
	5	한계들에	_	_	O	O	1		
	6	대해	_	_	O	O	1		
	7	학교를	_	_	O	O	1		
	8	비난할	_	_	O	O	1		
	9	가능성이	_	_	O	O	1		
	10	있다.	_	_	O	O	1		
									
25	#anno-id:601								
	#text:부모는 학교에서가 아닌, 집에서 그들 자녀 교육에 관여해야 한다.								
	0	부모는	_	_	O	O	1		
	1	학교에서가	학교.n	Locale_by_use	O	B-Locale	0	B-Locale	
	2	아닌,	_	_	O	O	1		
	3	집에서	_	_	O	O	1		
	4	그들	_	_	O	O	1		
	5	자녀	_	_	O	O	1		
	6	교육에	_	_	O	O	1		
	7	관여해야	_	_	O	O	1		
	8	한다.	_	_	O	O	1		
									
26	#anno-id:607								
	#text:그들은 그들의 아이들이 무단결석하지 않도록 해야 하며 ; 그들은 아이들이 숙제를 하는데 충분한 시간을 쓰는지 확인해야 하고 ; 그들은 학교 통지표를 면밀히 살펴보아야 한다.								
	0	그들은	_	_	O	O	1		
	1	그들의	_	_	O	O	1		
	2	아이들이	_	_	B-Agent	O	1		O
	3	무단결석하지	_	_	O	O	1		
	4	않도록	_	_	O	O	1		
	5	해야	_	_	O	O	1		
	6	하며	_	_	O	O	1		
	7	;	_	_	O	O	1		
	8	그들은	_	_	O	O	1		
	9	아이들이	_	_	O	B-Agent	1	B-Agent	B-Agent
	10	숙제를	_	_	B-Act	B-Act	1	B-Act	
	11	하는데	하다.a	Intentionally_act	O	O	1		
	12	충분한	_	_	O	O	1		
	13	시간을	_	_	O	O	1		
	14	쓰는지	_	_	O	O	1		
	15	확인해야	_	_	O	O	1		
	16	하고	_	_	O	O	1		
	17	;	_	_	O	O	1		
	18	그들은	_	_	O	O	1		
	19	학교	_	_	O	O	1		
	20	통지표를	_	_	O	O	1		
	21	면밀히	_	_	O	O	1		
	22	살펴보아야	_	_	O	O	1		
	23	한다.	_	_	O	O	1		
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
28	#anno-id:618								
	#text:특히 더 큰 도시들에서, 지역적으로 선출된 학교 위원회는 야심차고, 일반적으로 부패하고, 그리고 너나 없이 선동적인 지역 정치인 또는 정치인 지망생들의 먹이감이 된다.								
	0	특히	_	_	O	O	1		
	1	더	_	_	B-Descriptor	B-Descriptor	1	B-Descriptor	
	2	큰	_	_	I-Descriptor	I-Descriptor	1	I-Descriptor	
	3	도시들에서,	도시.n	Political_locales	O	B-Locale	0		B-Locale
	4	지역적으로	_	_	O	O	1		
	5	선출된	_	_	O	O	1		
	6	학교	_	_	O	O	1		
	7	위원회는	_	_	O	O	1		
	8	야심차고,	_	_	O	O	1		
	9	일반적으로	_	_	O	O	1		
	10	부패하고,	_	_	O	O	1		
	11	그리고	_	_	O	O	1		
	12	너나	_	_	O	O	1		
	13	없이	_	_	O	O	1		
	14	선동적인	_	_	O	O	1		
	15	지역	_	_	O	O	1		
	16	정치인	_	_	O	O	1		
	17	또는	_	_	O	O	1		
	18	정치인	_	_	O	O	1		
	19	지망생들의	_	_	O	O	1		
	20	먹이감이	_	_	O	O	1		
	21	된다.	_	_	O	O	1		
									
29	#anno-id:620								
	#text:특히 더 큰 도시들에서, 지역적으로 선출된 학교 위원회는 야심차고, 일반적으로 부패하고, 그리고 너나 없이 선동적인 지역 정치인 또는 정치인 지망생들의 먹이감이 된다.								
	0	특히	_	_	O	O	1		
	1	더	_	_	O	O	1		
	2	큰	_	_	O	O	1		
	3	도시들에서,	_	_	O	O	1		
	4	지역적으로	_	_	O	B-Evaluee	1		B-Evaluee
	5	선출된	_	_	O	I-Evaluee	1		I-Evaluee
	6	학교	_	_	O	I-Evaluee	0	B-Evaluee	I-Evaluee
	7	위원회는	_	_	O	I-Evaluee	0	I-Evaluee	I-Evaluee
	8	야심차고,	_	_	O	O	0	I-Evaluee	
	9	일반적으로	_	_	O	O	0	I-Evaluee	B-Degree?
	10	부패하고,	부패하다.v	Morality_evaluation	O	O	1		
	11	그리고	_	_	O	O	1		
	12	너나	_	_	O	O	1		
	13	없이	_	_	O	O	1		
	14	선동적인	_	_	O	O	1		
	15	지역	_	_	B-Evaluee	B-Evaluee	1		O
	16	정치인	_	_	I-Evaluee	I-Evaluee	1		O
	17	또는	_	_	I-Evaluee	I-Evaluee	1		O
	18	정치인	_	_	I-Evaluee	I-Evaluee	1		O
	19	지망생들의	_	_	I-Evaluee	I-Evaluee	1		O
	20	먹이감이	_	_	O	O	1		
	21	된다.	_	_	O	O	1		
									
30	#anno-id:623								
	#text:수십 년 간의 교육 연구는 학생수가 훨씬 더 적은 반들은 비록 그들이 다른 이유들 때문에 때로는 바람직할 수 있을지라도 학생들의 학업 성취도에는 영향을 전혀 미치지 않는다는 것을 명백하게 우리에게 말해준다.								
	0	수십	_	_	O	O	1	B-Duration	B-Duration
	1	년	_	_	O	O	1	I-Duration	I-Duration
	2	간의	_	_	O	O	1	I-Duration	I-Duration
	3	교육	교육.n	Education_teaching	O	O	1		
	4	연구는	_	_	O	O	1		
	5	학생수가	_	_	O	O	1		B-Result?
	6	훨씬	_	_	O	O	1		
	7	더	_	_	O	O	1		
	8	적은	_	_	O	O	1		
	9	반들은	_	_	O	O	1		
	10	비록	_	_	O	O	1		
	11	그들이	_	_	O	O	1		
	12	다른	_	_	O	O	1		
	13	이유들	_	_	O	O	1		
	14	때문에	_	_	O	O	1		
	15	때로는	_	_	O	O	1		
	16	바람직할	_	_	O	O	1		
	17	수	_	_	O	O	1		
	18	있을지라도	B	_	O	O	1		
	19	학생들의	_	_	O	O	1		
	20	학업	_	_	O	O	1		
	21	성취도에는	_	_	O	O	1		
	22	영향을	_	_	O	O	1		
	23	전혀	_	_	O	O	1		
	24	미치지	_	_	O	O	1		
	25	않는다는	_	_	O	O	1		
	26	것을	_	_	O	O	1		
	27	명백하게	_	_	O	O	1		
	28	우리에게	_	_	O	O	1		
	29	말해준다.	_	_	O	O	1		I-Result?
									
31	#anno-id:630								
	#text:새로운 자금이 이미 머리부분이 너무 무거운 행정 구조로 유입되고 있는데, 이것은 그 자체가 선생들에게 점점 더 많은 서류 업무가 쌓이게 한다.								
	0	새로운	_	_	O	O	1		
	1	자금이	_	_	O	O	1		
	2	이미	_	_	O	O	1		
	3	머리부분이	_	_	O	O	1		
	4	너무	_	_	O	O	1		
	5	무거운	_	_	O	O	1		
	6	행정	_	_	O	O	1		
	7	구조로	_	_	O	O	1		
	8	유입되고	_	_	O	O	1		
	9	있는데,	_	_	O	O	1		
	10	이것은	_	_	O	O	1		
	11	그	_	_	O	O	1		
	12	자체가	_	_	O	O	1		
	13	선생들에게	_	_	B-Goal	B-Goal	1	B-Goal	
	14	점점	_	_	B-Theme	B-Manner	0	B-Theme	B-Manner?
	15	더	_	_	I-Theme	I-Manner	0	I-Theme	I-Manner?
	16	많은	_	_	I-Theme	B-Theme	1	I-Theme	
	17	서류	_	_	I-Theme	I-Theme	1	I-Theme	
	18	업무가	_	_	I-Theme	I-Theme	1	I-Theme	
	19	쌓이게	쌓이다.v	Filling	O	O	1		
	20	한다.	_	_	O	O	1		
									
32	#anno-id:635								
	#text:실제 기준으로 교육비는 지난 사반세기에 급증하였지만 -- 우리는 지금 세계의 어떤 다른 국가보다 학생 당 더 많이 지출한다 -- 교육 성과는 감소하였다는 사실에는 어떤 불가사이도 역설도 없다.								
	0	실제	_	_	O	O	1		
	1	기준으로	기준.n	Simple_name	O	O	1		
	2	교육비는	_	_	O	O	1		
	3	지난	_	_	O	O	1		
	4	사반세기에	_	_	O	O	1		
	5	급증하였지만	_	_	O	O	1		
	6	--	_	_	O	O	1		
	7	우리는	_	_	O	O	1		
	8	지금	_	_	O	O	1		
	9	세계의	_	_	O	O	1		
	10	어떤	_	_	O	O	1		
	11	다른	_	_	O	O	1		
	12	국가보다	_	_	O	O	1		
	13	학생	_	_	O	O	1		
	14	당	_	_	O	O	1		
