#anno-id:3023
#text:본전의 조각상들은 사람, 문학의 신, 그리고 신비롭게 병렬로 놓은 전쟁의 신인 Mo를 나타낸다.
0	본전의	본전.n	Importance	B-Factor
#text:Wan Chai 동쪽 약 2 킬로미터 ( 1 마일 ) 에 있는 Causeway 만은 홍콩의 쇼핑 장소로 Tsim Sha Tsui 에 버금가는 곳이다.
0	Wan	_	_	O
1	Chai	_	_	O
2	동쪽	_	_	O
3	약	_	_	O
4	2	_	_	O
5	킬로미터	_	_	O
6	(	_	_	O
7	1	_	_	O
8	마일	마일.n	Measure_linear_extent	O
9	)	_	_	O
10	에	_	_	O
11	있는	_	_	O
12	Causeway	_	_	O
13	만은	_	_	O
14	홍콩의	_	_	O
15	쇼핑	_	_	O
16	장소로	_	_	O
17	Tsim	_	_	O
18	Sha	_	_	O
19	Tsui	_	_	O
20	에	_	_	O
21	버금가는	_	_	O
22	곳이다.	_	_	O

#anno-id:3057
#text:분주한 밤 - 그리고 - 낮의 군중들은 이 지역을 역동적이고 활기차게 만든다.
0	분주한	_	_	O
1	밤	_	_	O
2	-	_	_	O
3	그리고	_	_	O
4	-	_	_	O
5	낮의	낮.n	Calendric_unit	O
6	군중들은	_	_	O
7	이	_	_	O
8	지역을	_	_	O
9	역동적이고	_	_	O
10	활기차게	_	_	O
11	만든다.	_	_	O

#anno-id:3059
#text:분주한 밤 - 그리고 - 낮의 군중들은 이 지역을 역동적이고 활기차게 만든다.
0	분주한	_	_	O
1	밤	밤.n	Calendric_unit	O
2	-	_	_	O
3	그리고	_	_	O
4	-	_	_	O
5	낮의	_	_	O
6	군중들은	_	_	O
7	이	_	_	O
8	지역을	_	_	O
9	역동적이고	_	_	O
10	활기차게	_	_	O
11	만든다.	_	_	O

#anno-id:3064
#text:바닷쪽에 Causeway 만 태풍 피난소가 있는데, 이곳은 비싼 요트가 뱃전마다 정박되어 있고, 홍콩 요트 클럽 본부가 있다.
0	바닷쪽에	_	_	O
1	Causeway	_	_	B-Relative_location
2	만	_	_	I-Relative_location
3	태풍	_	_	B-Function
4	피난소가	피난소.n	Buildings	O
5	있는데,	_	_	O
6	이곳은	_	_	O
7	비싼	_	_	O
8	요트가	_	_	O
9	뱃전마다	_	_	O
10	정박되어	_	_	O
11	있고,	_	_	O
12	홍콩	_	_	O
13	요트	_	_	O
14	클럽	_	_	O
15	본부가	_	_	O
16	있다.	_	_	O

#anno-id:3066
#text:바닷쪽에 Causeway 만 태풍 피난소가 있는데, 이곳은 비싼 요트가 뱃전마다 정박되어 있고, 홍콩 요트 클럽 본부가 있다.
0	바닷쪽에	_	_	O
1	Causeway	_	_	O
2	만	_	_	O
3	태풍	_	_	O
4	피난소가	_	_	O
5	있는데,	_	_	O
6	이곳은	_	_	O
7	비싼	_	_	O
8	요트가	_	_	O
9	뱃전마다	_	_	O
10	정박되어	_	_	O
11	있고,	_	_	O
12	홍콩	_	_	B-Name
13	요트	_	_	I-Name
14	클럽	클럽.n	Organization	O
15	본부가	_	_	O
16	있다.	_	_	O

#anno-id:3072
#text:상인들인 Jardine, Matheson 그리고 Co가 방문하는 거물을 위해 식민지 지배 당국을 몹시 화나게 하는 행위인 개인 예포를 쏘았는데, 당국은 그들이 이와 같은 21발의 예포를 허락할 유일한 권한을 가졌다고 생각하고 있었다.
0	상인들인	_	_	O
1	Jardine,	_	_	O
2	Matheson	_	_	O
3	그리고	_	_	O
4	Co가	_	_	O
5	방문하는	_	_	O
6	거물을	_	_	O
7	위해	_	_	O
8	식민지	_	_	B-Governed
9	지배	_	_	O
10	당국을	당국.n	Leadership	O
11	몹시	_	_	O
12	화나게	_	_	O
13	하는	_	_	O
14	행위인	_	_	O
15	개인	_	_	O
16	예포를	_	_	O
17	쏘았는데,	_	_	O
18	당국은	_	_	O
19	그들이	_	_	O
20	이와	_	_	O
21	같은	_	_	O
22	21발의	_	_	O
23	예포를	_	_	O
24	허락할	_	_	O
25	유일한	_	_	O
26	권한을	_	_	O
27	가졌다고	_	_	O
28	생각하고	_	_	O
29	있었다.	_	_	O

#anno-id:3073
#text:상인들인 Jardine, Matheson 그리고 Co가 방문하는 거물을 위해 식민지 지배 당국을 몹시 화나게 하는 행위인 개인 예포를 쏘았는데, 당국은 그들이 이와 같은 21발의 예포를 허락할 유일한 권한을 가졌다고 생각하고 있었다.
0	상인들인	_	_	O
1	Jardine,	_	_	O
2	Matheson	_	_	O
3	그리고	_	_	O
4	Co가	_	_	O
5	방문하는	_	_	O
6	거물을	_	_	O
7	위해	_	_	O
8	식민지	_	_	O
9	지배	_	_	O
10	당국을	_	_	O
11	몹시	화나다.v	Experiencer_obj	O
12	화나게	화나다.v	Experiencer_obj	O
13	하는	화나다.v	Experiencer_obj	O
14	행위인	_	_	B-Stimulus
15	개인	_	_	O
16	예포를	_	_	O
17	쏘았는데,	_	_	O
18	당국은	_	_	O
19	그들이	_	_	O
20	이와	_	_	O
21	같은	_	_	O
22	21발의	_	_	O
23	예포를	_	_	O
24	허락할	_	_	O
25	유일한	_	_	O
26	권한을	_	_	O
27	가졌다고	_	_	O
28	생각하고	_	_	O
29	있었다.	_	_	O

#anno-id:3076
#text:상인들인 Jardine, Matheson 그리고 Co가 방문하는 거물을 위해 식민지 지배 당국을 몹시 화나게 하는 행위인 개인 예포를 쏘았는데, 당국은 그들이 이와 같은 21발의 예포를 허락할 유일한 권한을 가졌다고 생각하고 있었다.
0	상인들인	_	_	O
1	Jardine,	_	_	O
2	Matheson	_	_	O
3	그리고	_	_	O
4	Co가	_	_	O
5	방문하는	_	_	O
6	거물을	_	_	O
7	위해	_	_	O
8	식민지	_	_	O
9	지배	_	_	O
10	당국을	_	_	O
11	몹시	_	_	O
12	화나게	_	_	O
13	하는	_	_	O
14	행위인	_	_	O
15	개인	_	_	O
16	예포를	_	_	O
17	쏘았는데,	_	_	O
18	당국은	_	_	O
19	그들이	_	_	B-Owner
20	이와	_	_	B-Possession
21	같은	_	_	I-Possession
22	21발의	_	_	I-Possession
23	예포를	_	_	I-Possession
24	허락할	_	_	I-Possession
25	유일한	_	_	I-Possession
26	권한을	_	_	I-Possession
27	가졌다고	가지다.v	Possession	O
28	생각하고	_	_	O
29	있었다.	_	_	O

#anno-id:3077
#text:그 결과, 상인들은 하루에 한 발의 발포로 제한되었고 - 그리고 그때부터, 그들은 모두가 듣도록 매일 정오 시간을 알렸다.
0	그	_	_	O
1	결과,	_	_	O
2	상인들은	_	_	O
3	하루에	하루.n	Calendric_unit	O
4	한	_	_	O
5	발의	_	_	O
6	발포로	_	_	O
7	제한되었고	_	_	O
8	-	_	_	O
9	그리고	_	_	O
10	그때부터,	_	_	O
11	그들은	_	_	O
12	모두가	_	_	O
13	듣도록	_	_	O
14	매일	_	_	O
15	정오	_	_	O
16	시간을	_	_	O
17	알렸다.	_	_	O

#anno-id:3081
#text:그 결과, 상인들은 하루에 한 발의 발포로 제한되었고 - 그리고 그때부터, 그들은 모두가 듣도록 매일 정오 시간을 알렸다.
0	그	_	_	O
1	결과,	_	_	O
2	상인들은	_	_	B-Affected
3	하루에	_	_	B-Effect
4	한	_	_	I-Effect
5	발의	_	_	I-Effect
6	발포로	_	_	I-Effect
7	제한되었고	제한되다.v	Causation	I-Effect
8	-	_	_	O
9	그리고	_	_	O
10	그때부터,	_	_	O
11	그들은	_	_	O
12	모두가	_	_	O
13	듣도록	_	_	O
14	매일	_	_	O
15	정오	_	_	O
16	시간을	_	_	O
17	알렸다.	_	_	O

#anno-id:3085
#text:한때 해적의 굴이었던 섬의 가장 오래된 정착지인 Aberdeen은 " 떠다니는 주민 " 의 거처인데 - 이들은 항구에서 전 삶을 보내는 보트 피플이고, 일부는 자랑스럽게 육지 ( 장례는 예외로, 이것은 계산되지 않는다 ) 에 결코 발을 딛지 않는다고 주장한다.
0	한때	_	_	O
1	해적의	_	_	O
2	굴이었던	_	_	O
3	섬의	_	_	O
4	가장	_	_	O
5	오래된	_	_	O
6	정착지인	_	_	O
7	Aberdeen은	_	_	O
8	"	_	_	O
9	떠다니는	_	_	O
10	주민	_	_	O
11	"	_	_	O
12	의	_	_	O
13	거처인데	_	_	O
14	-	_	_	O
15	이들은	_	_	O
16	항구에서	_	_	O
17	전	_	_	O
18	삶을	_	_	O
19	보내는	_	_	O
20	보트	_	_	O
21	피플이고,	_	_	O
22	일부는	일부.n	Relational_quantity	O
23	자랑스럽게	_	_	O
24	육지	_	_	O
25	(	_	_	O
26	장례는	_	_	O
27	예외로,	_	_	O
28	이것은	_	_	O
29	계산되지	_	_	O
30	않는다	_	_	O
31	)	_	_	O
32	에	_	_	O
33	결코	_	_	O
34	발을	_	_	O
35	딛지	_	_	O
36	않는다고	_	_	O
37	주장한다.	_	_	O

#anno-id:3088
#text:한때 해적의 굴이었던 섬의 가장 오래된 정착지인 Aberdeen은 " 떠다니는 주민 " 의 거처인데 - 이들은 항구에서 전 삶을 보내는 보트 피플이고, 일부는 자랑스럽게 육지 ( 장례는 예외로, 이것은 계산되지 않는다 ) 에 결코 발을 딛지 않는다고 주장한다.
0	한때	_	_	O
1	해적의	_	_	O
2	굴이었던	_	_	O
3	섬의	섬.n	Natural_features	O
4	가장	_	_	O
5	오래된	_	_	O
6	정착지인	_	_	O
7	Aberdeen은	_	_	O
8	"	_	_	O
9	떠다니는	_	_	O
10	주민	_	_	O
11	"	_	_	O
12	의	_	_	O
13	거처인데	_	_	O
14	-	_	_	O
15	이들은	_	_	O
16	항구에서	_	_	O
17	전	_	_	O
18	삶을	_	_	O
19	보내는	_	_	O
20	보트	_	_	O
21	피플이고,	_	_	O
22	일부는	_	_	O
23	자랑스럽게	_	_	O
24	육지	_	_	O
25	(	_	_	O
26	장례는	_	_	O
27	예외로,	_	_	O
28	이것은	_	_	O
29	계산되지	_	_	O
30	않는다	_	_	O
31	)	_	_	O
32	에	_	_	O
33	결코	_	_	O
34	발을	_	_	O
35	딛지	_	_	O
36	않는다고	_	_	O
37	주장한다.	_	_	O

#anno-id:3090
#text:한때 해적의 굴이었던 섬의 가장 오래된 정착지인 Aberdeen은 " 떠다니는 주민 " 의 거처인데 - 이들은 항구에서 전 삶을 보내는 보트 피플이고, 일부는 자랑스럽게 육지 ( 장례는 예외로, 이것은 계산되지 않는다 ) 에 결코 발을 딛지 않는다고 주장한다.
0	한때	_	_	O
1	해적의	_	_	O
2	굴이었던	_	_	O
3	섬의	_	_	O
4	가장	_	_	O
5	오래된	_	_	O
6	정착지인	_	_	O
7	Aberdeen은	_	_	O
8	"	_	_	O
9	떠다니는	_	_	B-Aggregate_property
10	주민	주민.n	Aggregate	O
11	"	_	_	O
12	의	_	_	O
13	거처인데	_	_	O
14	-	_	_	O
15	이들은	_	_	O
16	항구에서	_	_	O
17	전	_	_	O
18	삶을	_	_	O
19	보내는	_	_	O
20	보트	_	_	O
21	피플이고,	_	_	O
22	일부는	_	_	O
23	자랑스럽게	_	_	O
24	육지	_	_	O
25	(	_	_	O
26	장례는	_	_	O
27	예외로,	_	_	O
28	이것은	_	_	O
29	계산되지	_	_	O
30	않는다	_	_	O
31	)	_	_	O
32	에	_	_	O
33	결코	_	_	O
34	발을	_	_	O
35	딛지	_	_	O
36	않는다고	_	_	O
37	주장한다.	_	_	O

#anno-id:3091
#text:배는 그림같은 광경이다 : 어린이들은 선미갑판 위에서 즐겁게 뛰놀고, 여성들은 음식을 준비하거나 마작을 하고, 어른들은 일몰을 보고, 개와 고양이들은 발밑에 있고, 대나무 새장의 새들의 노래소리가 들리고 - 그리고 이 모든 것이 물위에 떠 있다.
0	배는	_	_	O
1	그림같은	_	_	O
2	광경이다	_	_	O
3	:	_	_	O
4	어린이들은	_	_	O
5	선미갑판	_	_	O
6	위에서	_	_	O
7	즐겁게	_	_	O
8	뛰놀고,	_	_	O
9	여성들은	_	_	B-Participants
10	음식을	_	_	O
11	준비하거나	_	_	O
12	마작을	_	_	B-Competition
13	하고,	하다.a	Competition	O
14	어른들은	_	_	O
15	일몰을	_	_	O
16	보고,	_	_	O
17	개와	_	_	O
18	고양이들은	_	_	O
19	발밑에	_	_	O
20	있고,	_	_	O
21	대나무	_	_	O
22	새장의	_	_	O
23	새들의	_	_	O
24	노래소리가	_	_	O
25	들리고	_	_	O
26	-	_	_	O
27	그리고	_	_	O
28	이	_	_	O
29	모든	_	_	O
30	것이	_	_	O
31	물위에	_	_	O
32	떠	_	_	O
33	있다.	_	_	O

#anno-id:3095
#text:배는 그림같은 광경이다 : 어린이들은 선미갑판 위에서 즐겁게 뛰놀고, 여성들은 음식을 준비하거나 마작을 하고, 어른들은 일몰을 보고, 개와 고양이들은 발밑에 있고, 대나무 새장의 새들의 노래소리가 들리고 - 그리고 이 모든 것이 물위에 떠 있다.
0	배는	_	_	O
1	그림같은	_	_	O
2	광경이다	_	_	O
3	:	_	_	O
4	어린이들은	_	_	B-Self_mover
5	선미갑판	_	_	B-Area
6	위에서	_	_	I-Area
7	즐겁게	즐겁게_뛰놀다.v	Self_motion	O
8	뛰놀고,	즐겁게_뛰놀다.v	Self_motion	O
9	여성들은	_	_	O
10	음식을	_	_	O
11	준비하거나	_	_	O
12	마작을	_	_	O
13	하고,	_	_	O
14	어른들은	_	_	O
15	일몰을	_	_	O
16	보고,	_	_	O
17	개와	_	_	O
18	고양이들은	_	_	O
19	발밑에	_	_	O
20	있고,	_	_	O
21	대나무	_	_	O
22	새장의	_	_	O
23	새들의	_	_	O
24	노래소리가	_	_	O
25	들리고	_	_	O
26	-	_	_	O
27	그리고	_	_	O
28	이	_	_	O
29	모든	_	_	O
30	것이	_	_	O
31	물위에	_	_	O
32	떠	_	_	O
33	있다.	_	_	O

#anno-id:3096
#text:배는 그림같은 광경이다 : 어린이들은 선미갑판 위에서 즐겁게 뛰놀고, 여성들은 음식을 준비하거나 마작을 하고, 어른들은 일몰을 보고, 개와 고양이들은 발밑에 있고, 대나무 새장의 새들의 노래소리가 들리고 - 그리고 이 모든 것이 물위에 떠 있다.
0	배는	_	_	O
1	그림같은	_	_	O
2	광경이다	_	_	O
3	:	_	_	O
4	어린이들은	_	_	O
5	선미갑판	_	_	O
6	위에서	_	_	O
7	즐겁게	_	_	O
8	뛰놀고,	_	_	O
9	여성들은	_	_	O
10	음식을	_	_	O
11	준비하거나	준비하다.v	Cooking_creation	O
12	마작을	_	_	O
13	하고,	_	_	O
14	어른들은	_	_	O
15	일몰을	_	_	O
16	보고,	_	_	O
17	개와	_	_	O
18	고양이들은	_	_	O
19	발밑에	_	_	O
20	있고,	_	_	O
21	대나무	_	_	O
22	새장의	_	_	O
23	새들의	_	_	O
24	노래소리가	_	_	O
25	들리고	_	_	O
26	-	_	_	O
27	그리고	_	_	O
28	이	_	_	O
29	모든	_	_	O
30	것이	_	_	O
31	물위에	_	_	O
32	떠	_	_	O
33	있다.	_	_	O

#anno-id:3099
#text:배는 그림같은 광경이다 : 어린이들은 선미갑판 위에서 즐겁게 뛰놀고, 여성들은 음식을 준비하거나 마작을 하고, 어른들은 일몰을 보고, 개와 고양이들은 발밑에 있고, 대나무 새장의 새들의 노래소리가 들리고 - 그리고 이 모든 것이 물위에 떠 있다.
0	배는	_	_	B-Percept
1	그림같은	_	_	O
2	광경이다	광경.n	Sensation	O
3	:	_	_	O
4	어린이들은	_	_	O
5	선미갑판	_	_	O
6	위에서	_	_	O
7	즐겁게	_	_	O
8	뛰놀고,	_	_	O
9	여성들은	_	_	O
10	음식을	_	_	O
11	준비하거나	_	_	O
12	마작을	_	_	O
13	하고,	_	_	O
14	어른들은	_	_	O
15	일몰을	_	_	O
16	보고,	_	_	O
17	개와	_	_	O
18	고양이들은	_	_	O
19	발밑에	_	_	O
20	있고,	_	_	O
21	대나무	_	_	O
22	새장의	_	_	O
23	새들의	_	_	O
24	노래소리가	_	_	O
25	들리고	_	_	O
26	-	_	_	O
27	그리고	_	_	O
28	이	_	_	O
29	모든	_	_	O
30	것이	_	_	O
31	물위에	_	_	O
32	떠	_	_	O
33	있다.	_	_	O

#anno-id:3105
#text:보트는 겉으로는 원시적으로 보이지만, 많은 것들은 자체 전기 발전기와 모든 현대식 편리함을 갖고 있다.
0	보트는	보트.n	Vehicle	O
1	겉으로는	_	_	O
2	원시적으로	_	_	O
3	보이지만,	_	_	O
4	많은	_	_	O
5	것들은	_	_	O
6	자체	_	_	O
7	전기	_	_	O
8	발전기와	_	_	O
9	모든	_	_	O
10	현대식	_	_	O
11	편리함을	_	_	O
12	갖고	_	_	O
13	있다.	_	_	O

#anno-id:3106
#text:당신은 여성 운전자의 손에서 추진되는 작은 배들 중 하나로 항구 여행을 할 수 있다.
0	당신은	_	_	O
1	여성	여성.n	People	O
2	운전자의	_	_	O
3	손에서	_	_	O
4	추진되는	_	_	O
5	작은	_	_	O
6	배들	_	_	O
7	중	_	_	O
8	하나로	_	_	O
9	항구	_	_	O
10	여행을	_	_	O
11	할	_	_	O
12	수	_	_	O
13	있다.	_	_	O

#anno-id:3109
#text:당신은 여성 운전자의 손에서 추진되는 작은 배들 중 하나로 항구 여행을 할 수 있다.
0	당신은	_	_	B-Entity
1	여성	_	_	B-Event
2	운전자의	_	_	I-Event
3	손에서	_	_	I-Event
4	추진되는	_	_	I-Event
5	작은	_	_	I-Event
6	배들	_	_	I-Event
7	중	_	_	I-Event
8	하나로	_	_	I-Event
9	항구	_	_	I-Event
10	여행을	_	_	I-Event
11	할	_	_	O
12	수	수_있다.a	Capability	O
13	있다.	수_있다.a	Capability	O

#anno-id:3116
#text:반 시간 여행에 50 홍콩달러가 든다 ; 마지막에 지불하라, 그렇지 않으면 운전자가 당신 여행을 짧게 줄일 지도 모른다.
0	반	_	_	O
1	시간	_	_	O
2	여행에	_	_	O
3	50	_	_	O
4	홍콩달러가	_	_	O
5	든다	_	_	O
6	;	_	_	O
7	마지막에	_	_	O
8	지불하라,	_	_	O
9	그렇지	_	_	O
10	않으면	_	_	O
11	운전자가	_	_	B-Agent
12	당신	_	_	B-Event
13	여행을	_	_	I-Event
14	짧게	_	_	O
15	줄일	줄이다.v	Change_event_duration	O
16	지도	_	_	O
17	모른다.	_	_	O

#anno-id:3118
#text:반 시간 여행에 50 홍콩달러가 든다 ; 마지막에 지불하라, 그렇지 않으면 운전자가 당신 여행을 짧게 자를 지도 모른다.
0	반	_	_	B-Goods
1	시간	_	_	I-Goods
2	여행에	_	_	I-Goods
3	50	_	_	B-Asset
4	홍콩달러가	_	_	I-Asset
5	든다	들다.v	Expensiveness	O
6	;	_	_	O
7	마지막에	_	_	O
8	지불하라,	_	_	O
9	그렇지	_	_	O
10	않으면	_	_	O
11	운전자가	_	_	O
12	당신	_	_	O
13	여행을	_	_	O
14	짧게	_	_	O
15	자를	_	_	O
16	지도	_	_	O
17	모른다.	_	_	O

#anno-id:3129
#text:Ap Lei Chau 섬의 동쪽 해안 반대쪽 반도에는 Ocean Park ( 매일 오전 10시 - 오후 6시 개방 ; 입장료 성인 홍콩 150 달러, 어린이 75 홍콩달러 ) 이 있고, 이곳은 홍콩의 가장 큰 매력 중의 하나가 되었다.
0	Ap	_	_	B-Name
1	Lei	_	_	I-Name
2	Chau	_	_	I-Name
3	섬의	섬.n	Natural_features	O
4	동쪽	_	_	O
5	해안	_	_	O
6	반대쪽	_	_	O
7	반도에는	_	_	O
8	Ocean	_	_	O
9	Park	_	_	O
10	(	_	_	O
11	매일	_	_	O
12	오전	_	_	O
13	10시	_	_	O
14	-	_	_	O
15	오후	_	_	O
16	6시	_	_	O
17	개방	_	_	O
18	;	_	_	O
19	입장료	_	_	O
20	성인	_	_	O
21	홍콩	_	_	O
22	150	_	_	O
23	달러,	_	_	O
24	어린이	_	_	O
25	75	_	_	O
26	홍콩달러	_	_	O
27	)	_	_	O
28	이	_	_	O
29	있고,	_	_	O
30	이곳은	_	_	O
31	홍콩의	_	_	O
32	가장	_	_	O
33	큰	_	_	O
34	매력	_	_	O
35	중의	_	_	O
36	하나가	_	_	O
37	되었다.	_	_	O

#anno-id:3133
#text:공원의 저지대와 고지대 구간을 연결하는 케이블 카 시스템은 남중국해의 섬들을 가로지르는 장관을 이루는 경관을 제공한다.
0	공원의	_	_	B-Whole
1	저지대와	_	_	O
2	고지대	_	_	O
3	구간을	구간.n	Part_whole	O
4	연결하는	_	_	O
5	케이블	_	_	O
6	카	_	_	O
7	시스템은	_	_	O
8	남중국해의	_	_	O
9	섬들을	_	_	O
10	가로지르는	_	_	O
11	장관을	_	_	O
12	이루는	_	_	O
13	경관을	_	_	O
14	제공한다.	_	_	O

#anno-id:3147
#text:시계 반대 방향의 해안 주변으로 계속되는, Deep Water 만은 좋은 해변과 항구를 제공한다.
0	시계	_	_	O
1	반대	_	_	O
2	방향의	_	_	O
3	해안	_	_	O
4	주변으로	_	_	O
5	계속되는,	_	_	O
6	Deep	_	_	O
7	Water	_	_	O
8	만은	_	_	O
9	좋은	_	_	O
10	해변과	_	_	O
11	항구를	항구.n	Locale_by_use	O
12	제공한다.	_	_	O

#anno-id:3149
#text:다음의 작은 만은 녹색 언덕을 한 널찍하고, 모래가 많은 초승달 모양의 Repulse 만이다.
0	다음의	_	_	O
1	작은	_	_	O
2	만은	_	_	O
3	녹색	녹색.n	Color	O
4	언덕을	_	_	B-Entity
5	한	_	_	O
6	널찍하고,	_	_	O
7	모래가	_	_	O
8	많은	_	_	O
9	초승달	_	_	O
10	모양의	_	_	O
11	Repulse	_	_	O
12	만이다.	_	_	O

#anno-id:3154
#text:많은 지역에서, 인구 밀도는 평방 킬로미터 당 ( 4분의 1 평방 마일 ) 150,000 명에 이른다.
0	많은	_	_	O
1	지역에서,	_	_	O
2	인구	_	_	O
3	밀도는	_	_	O
4	평방	_	_	B-Dimension
5	킬로미터	킬로미터.n	Measure_linear_extent	O
6	당	_	_	O
7	(	_	_	O
8	4분의	_	_	O
9	1	_	_	O
10	평방	_	_	O
11	마일	_	_	O
12	)	_	_	O
13	150,000	_	_	O
14	명에	_	_	O
15	이른다.	_	_	O

#anno-id:3163
#text:산책로 끝으로 계속 가면, 60 헥타르 ( 150 에이커 ) 보다 더 많은 매립지에 지은 분주한 상업 지역인 Tsim Sha Tsui East에 이른다.
0	산책로	_	_	O
1	끝으로	_	_	O
2	계속	_	_	O
3	가면,	_	_	O
4	60	_	_	O
5	헥타르	_	_	O
6	(	_	_	O
7	150	_	_	O
8	에이커	_	_	O
9	)	_	_	O
10	보다	_	_	O
11	더	_	_	O
12	많은	_	_	O
13	매립지에	_	_	O
14	지은	_	_	O
15	분주한	_	_	O
16	상업	_	_	O
17	지역인	지역.n	Political_locales	O
18	Tsim	_	_	O
19	Sha	_	_	O
20	Tsui	_	_	O
21	East에	_	_	O
22	이른다.	_	_	O

#anno-id:3182
#text:Chatham Road South 몇 블록 윗쪽에 두 개의 대형 박물관이 더 있다.
0	Chatham	_	_	O
1	Road	_	_	O
2	South	_	_	O
3	몇	_	_	O
4	블록	_	_	O
5	윗쪽에	_	_	O
6	두	_	_	O
7	개의	_	_	O
8	대형	대형.n	Importance	O
9	박물관이	_	_	B-Factor
10	더	_	_	O
11	있다.	_	_	O

#anno-id:3183
#text:Chatham Road South 몇 블록 윗쪽에 두 개의 대형 박물관이 더 있다.
0	Chatham	_	_	O
1	Road	_	_	O
2	South	_	_	O
3	몇	_	_	O
4	블록	_	_	O
5	윗쪽에	_	_	O
6	두	_	_	B-Added_set
7	개의	_	_	I-Added_set
8	대형	_	_	B-Class
9	박물관이	_	_	I-Class
10	더	더.ad	Increment	O
11	있다.	_	_	O

#anno-id:3184
#text:과학 박물관 ( 페이지 55 참조 ) 은 고대 범선에서부터 최신 기술까지 모든 것과 어떤 것이나 어떻게 작용하는지를 가르치는 최첨단의 쌍방향 박물관이다.
0	과학	_	_	O
1	박물관	_	_	O
2	(	_	_	O
3	페이지	_	_	O
4	55	_	_	O
5	참조	_	_	O
6	)	_	_	O
7	은	_	_	O
8	고대	_	_	O
9	범선에서부터	범선.n	Vehicle	O
10	최신	_	_	O
11	기술까지	_	_	O
12	모든	_	_	O
13	것과	_	_	O
14	어떤	_	_	O
15	것이나	_	_	O
16	어떻게	_	_	O
17	작용하는지를	_	_	O
18	가르치는	_	_	O
19	최첨단의	_	_	O
20	쌍방향	_	_	O
21	박물관이다.	_	_	O

#anno-id:3188
#text:과학 박물관 ( 페이지 55 참조 ) 은 고대 범선에서부터 최신 기술까지 모든 것과 어떤 것이나 어떻게 작용하는지를 가르치는 최첨단의 쌍방향 박물관이다.
0	과학	_	_	O
1	박물관	_	_	O
2	(	_	_	O
3	페이지	_	_	O
4	55	_	_	O
5	참조	_	_	O
6	)	_	_	O
7	은	_	_	O
8	고대	_	_	O
9	범선에서부터	_	_	O
10	최신	_	_	O
