#anno-id:11283
#text:커플.
0	커플.	커플.n	Personal_relationship	B-Partners
2	사진을	_	_	I-Phenomenon
3	가지고	_	_	O
4	와서	_	_	O
5	게시해	_	_	O
6	두었으니,	_	_	O
7	봐	보다.v	Perception_active	O
8	주십시오.	_	_	O

#anno-id:11403
#text:종잡을 수 없는 시바 씨의 말에, 나는 초조했다.
0	종잡을	_	_	B-Content
1	수	_	_	I-Content
2	없는	_	_	I-Content
3	시바	_	_	I-Content
4	씨의	_	_	I-Content
5	말에,	_	_	I-Content
6	나는	_	_	B-Experiencer
7	초조했다.	초조하다.a	Experiencer_focus	O

#anno-id:11422
#text:낮 열두 시경에 가와고에로 향하는 나룻배가 뜨는데, 거기에 시즈가 타고 있다는 기별이 왔기 때문이다.
0	낮	_	_	B-Time
1	열두	_	_	I-Time
2	시경에	_	_	I-Time
3	가와고에로	_	_	B-Goal
4	향하는	_	_	I-Goal
5	나룻배가	_	_	B-Theme
6	뜨는데,	뜨다.a	Departing	O
7	거기에	_	_	O
8	시즈가	_	_	O
9	타고	_	_	O
10	있다는	_	_	O
11	기별이	_	_	O
12	왔기	_	_	O
13	때문이다.	_	_	O

#anno-id:11428
#text:신호 직전에서 택시는 정지한다.
0	신호	_	_	B-Place
1	직전에서	_	_	I-Place
2	택시는	_	_	B-Theme
3	정지한다.	정지하다.v	Halt	O

#anno-id:11432
#text:지금 것은 판금을 롤러로 밀었을 뿐이잖아.
0	지금	_	_	O
1	것은	_	_	O
2	판금을	_	_	B-Patient
3	롤러로	_	_	B-Instrument
4	밀었을	밀다.v	Reshaping	O
5	뿐이잖아.	_	_	O

#anno-id:11447
#text:저는 잠시 「풍토기」를 연구한 적인 있는데, 이야기가 자꾸 오래전으로 거슬러 올라가서 죄송합니다만, 다이카 개신의 칙령에 따라, 궁정을 중심으로 하는 고대 수도권, 기나이라 불리는 지역이 생겼습니다.
0	저는	_	_	O
1	잠시	_	_	O
2	「풍토기」를	_	_	O
3	연구한	_	_	O
4	적인	_	_	O
5	있는데,	_	_	O
6	이야기가	_	_	O
7	자꾸	_	_	O
8	오래전으로	_	_	O
9	거슬러	_	_	O
10	올라가서	_	_	O
11	죄송합니다만,	_	_	O
12	다이카	_	_	O
13	개신의	_	_	O
14	칙령에	_	_	O
15	따라,	_	_	O
16	궁정을	궁정.n	Leadership	B-Leader
17	중심으로	_	_	O
18	하는	_	_	O
19	고대	_	_	B-Governed
20	수도권,	_	_	I-Governed
21	기나이라	_	_	I-Governed
22	불리는	_	_	O
23	지역이	_	_	O
24	생겼습니다.	_	_	O

#anno-id:11456
#text:움직이면 가벼운 통증이 밀려온다.
0	움직이면	_	_	O
1	가벼운	_	_	B-Entity
2	통증이	_	_	I-Entity
3	밀려온다.	밀려오다.v	Coming_to_be	O

#anno-id:11462
#text:전술한 대로, 작가 에이전트의 수입은 작가에게 들어오는 인세에 많은 부분을 의지한다.
0	전술한	_	_	O
1	대로,	_	_	O
2	작가	_	_	O
3	에이전트의	_	_	O
4	수입은	_	_	O
5	작가에게	작가.n	People_by_vocation	B-Person
6	들어오는	_	_	O
7	인세에	_	_	O
8	많은	_	_	O
9	부분을	_	_	O
10	의지한다.	_	_	O

#anno-id:11469
#text:회사를 만들 때마다 출자나 융자를 받고, 그래도 안되면 더는 갚지 않아도 좋다.
0	회사를	_	_	O
1	만들	_	_	O
2	때마다	_	_	O
3	출자나	_	_	O
4	융자를	_	_	O
5	받고,	_	_	O
6	그래도	_	_	B-Circumstances
7	안되면	_	_	I-Circumstances
8	더는	_	_	B-Action
9	갚지	_	_	I-Action
10	않아도	_	_	I-Action
11	좋다.	좋다.a	Deny_or_grant_permission	O

#anno-id:11478
#text:「카트만두에서는, 시바신을 모시는 절이 가장 이국적이면서 재미있어.
0	「카트만두에서는,	_	_	O
1	시바신을	_	_	B-Stimulus
2	모시는	_	_	I-Stimulus
3	절이	_	_	I-Stimulus
4	가장	_	_	B-Property
5	이국적이면서	_	_	I-Property
6	재미있어.	재미있다.a	Stimulus_focus	O

#anno-id:11481
#text:남편이 될 남자의 사업에 그녀는 반했다.
0	남편이	_	_	B-Content
1	될	_	_	I-Content
2	남자의	_	_	I-Content
3	사업에	_	_	I-Content
4	그녀는	_	_	B-Experiencer
5	반했다.	반하다.v	Experiencer_focus	O

#anno-id:11486
#text:도로 옆에 다실풍으로 지은 단층집의 건물이 있고, 그 앞에서 차가 멈췄다.
0	도로	_	_	O
1	옆에	_	_	O
2	다실풍으로	_	_	O
3	지은	_	_	O
4	단층집의	_	_	O
5	건물이	_	_	O
6	있고,	_	_	O
7	그	_	_	B-Area
8	앞에서	_	_	I-Area
9	차가	_	_	B-Theme
10	멈췄다.	멈추다.v	Motion	O

#anno-id:11487
#text:도로 옆에 다실풍으로 지은 단층집의 건물이 있고, 그 앞에서 차가 멈췄다.
0	도로	_	_	O
1	옆에	_	_	O
2	다실풍으로	_	_	O
3	지은	_	_	O
4	단층집의	_	_	O
5	건물이	_	_	O
6	있고,	_	_	O
7	그	_	_	B-Place
8	앞에서	_	_	I-Place
9	차가	_	_	B-Theme
10	멈췄다.	멈추다.v	Halt	O

#anno-id:11489
#text:이번에 다룰 사안 아들의 잘못은 부모 책임?
0	이번에	_	_	O
1	다룰	_	_	O
2	사안	사안.n	Trial	O
3	아들의	_	_	B-Case
4	잘못은	_	_	I-Case
5	부모	_	_	I-Case
6	책임?	_	_	I-Case

#anno-id:11490
#text:이번에 다룰 사안 아들의 잘못은 부모 책임?
0	이번에	_	_	O
1	다룰	_	_	O
2	사안	_	_	O
3	아들의	아들.n	Kinship	O
4	잘못은	_	_	O
5	부모	_	_	O
6	책임?	_	_	O

#anno-id:11494
#text:스승 고노무카이의 명령에 따라, 빈집을 청소하러 갔습니다.
0	스승	_	_	O
1	고노무카이의	_	_	O
2	명령에	_	_	O
3	따라,	_	_	O
4	빈집을	빈집.n	Buildings	B-Building
5	청소하러	_	_	O
6	갔습니다.	_	_	O

#anno-id:11496
#text:그 광장에서 남쪽을 바라보니, 높은 미나렛(모스크에 부속된 탑)이 눈에 들어왔다.
0	그	_	_	B-Means
1	광장에서	_	_	I-Means
2	남쪽을	_	_	I-Means
3	바라보니,	_	_	I-Means
4	높은	_	_	B-Phenomenon
5	미나렛(모스크에	_	_	I-Phenomenon
6	부속된	_	_	I-Phenomenon
7	탑)이	_	_	I-Phenomenon
8	눈에	눈.n	Perception_experience	O
9	들어왔다.	_	_	O

#anno-id:11500
#text:2. 배의 주술선에 붙은 눈은, 옛날로선 레이더 같은 것데 배가 바다를 나아갈 때 앞이 잘 보이라고 배에 눈알을 그린 거지＊아마미오시마의 어부・자야스 도오루 씨는, 뱃머리에 눈을 그리는 섬의 관습에 대해서, 그렇게 이야기했다.
0	2.	_	_	O
1	배의	_	_	B-Message
2	주술선에	_	_	I-Message
3	붙은	_	_	I-Message
4	눈은,	_	_	I-Message
5	옛날로선	_	_	I-Message
6	레이더	_	_	I-Message
7	같은	_	_	I-Message
8	것데	_	_	I-Message
9	배가	_	_	I-Message
10	바다를	_	_	I-Message
11	나아갈	_	_	I-Message
12	때	_	_	I-Message
13	앞이	_	_	I-Message
14	잘	_	_	I-Message
15	보이라고	_	_	I-Message
16	배에	_	_	I-Message
17	눈알을	_	_	I-Message
18	그린	_	_	I-Message
19	거지＊아마미오시마의	_	_	I-Message
20	어부・자야스	_	_	B-Speaker
21	도오루	_	_	I-Speaker
22	씨는,	_	_	I-Speaker
23	뱃머리에	_	_	B-Topic
24	눈을	_	_	I-Topic
25	그리는	_	_	I-Topic
26	섬의	_	_	I-Topic
27	관습에	_	_	I-Topic
28	대해서,	_	_	I-Topic
29	그렇게	_	_	B-Message
30	이야기했다.	이야기하다.v	Telling	O

#anno-id:11501
#text:2. 배의 주술선에 붙은 눈은, 옛날로선 레이더 같은 것데 배가 바다를 나아갈 때 앞이 잘 보이라고 배에 눈알을 그린 거지＊아마미오시마의 어부・자야스 도오루 씨는, 뱃머리에 눈을 그리는 섬의 관습에 대해서, 그렇게 이야기했다.
0	2.	_	_	O
1	배의	_	_	O
2	주술선에	_	_	O
3	붙은	_	_	O
4	눈은,	_	_	O
5	옛날로선	_	_	O
6	레이더	_	_	O
7	같은	_	_	O
8	것데	_	_	O
9	배가	_	_	O
10	바다를	_	_	O
11	나아갈	_	_	O
12	때	_	_	O
13	앞이	_	_	O
14	잘	_	_	O
15	보이라고	_	_	O
16	배에	_	_	O
17	눈알을	_	_	O
18	그린	_	_	O
19	거지＊아마미오시마의	_	_	B-Origin
20	어부・자야스	어부.n	People_by_vocation	O
21	도오루	_	_	B-Person
22	씨는,	_	_	I-Person
23	뱃머리에	_	_	O
24	눈을	_	_	O
25	그리는	_	_	O
26	섬의	_	_	O
27	관습에	_	_	O
28	대해서,	_	_	O
29	그렇게	_	_	O
30	이야기했다.	_	_	O

#anno-id:11504
#text:2. 배의 주술선에 붙은 눈은, 옛날로선 레이더 같은 것데 배가 바다를 나아갈 때 앞이 잘 보이라고 배에 눈알을 그린 거지＊아마미오시마의 어부・자야스 도오루 씨는, 뱃머리에 눈을 그리는 섬의 관습에 대해서, 그렇게 이야기했다.
0	2.	_	_	O
1	배의	_	_	O
2	주술선에	_	_	O
3	붙은	_	_	O
4	눈은,	_	_	O
5	옛날로선	_	_	O
6	레이더	_	_	O
7	같은	_	_	O
8	것데	_	_	O
9	배가	_	_	O
10	바다를	바다.n	Natural_features	B-Locale
11	나아갈	_	_	O
12	때	_	_	O
13	앞이	_	_	O
14	잘	_	_	O
15	보이라고	_	_	O
16	배에	_	_	O
17	눈알을	_	_	O
18	그린	_	_	O
19	거지＊아마미오시마의	_	_	O
20	어부・자야스	_	_	O
21	도오루	_	_	O
22	씨는,	_	_	O
23	뱃머리에	_	_	O
24	눈을	_	_	O
25	그리는	_	_	O
26	섬의	_	_	O
27	관습에	_	_	O
28	대해서,	_	_	O
29	그렇게	_	_	O
30	이야기했다.	_	_	O

#anno-id:11508
#text:2. 배의 주술선에 붙은 눈은, 옛날로선 레이더 같은 것데 배가 바다를 나아갈 때 앞이 잘 보이라고 배에 눈알을 그린 거지＊아마미오시마의 어부・자야스 도오루 씨는, 뱃머리에 눈을 그리는 섬의 관습에 대해서, 그렇게 이야기했다.
0	2.	_	_	O
1	배의	_	_	O
2	주술선에	_	_	O
3	붙은	_	_	O
4	눈은,	_	_	O
5	옛날로선	_	_	O
6	레이더	_	_	O
7	같은	_	_	O
8	것데	_	_	O
9	배가	_	_	O
10	바다를	_	_	O
11	나아갈	_	_	O
12	때	_	_	O
13	앞이	_	_	O
14	잘	_	_	O
15	보이라고	_	_	O
16	배에	_	_	B-Entity
17	눈알을	_	_	I-Entity
18	그린	그리다.v	Existence	O
19	거지＊아마미오시마의	_	_	O
20	어부・자야스	_	_	O
21	도오루	_	_	O
22	씨는,	_	_	O
23	뱃머리에	_	_	O
24	눈을	_	_	O
25	그리는	_	_	O
26	섬의	_	_	O
27	관습에	_	_	O
28	대해서,	_	_	O
29	그렇게	_	_	O
30	이야기했다.	_	_	O

#anno-id:11515
#text:물건을 고르다가, 저도 모르는 사이에 예산을 초과해서 사버렸다면 누구라도 찜찜할 것입니다.
0	물건을	_	_	O
1	고르다가,	_	_	O
2	저도	_	_	B-Time
3	모르는	_	_	I-Time
4	사이에	_	_	I-Time
5	예산을	_	_	B-Manner
6	초과해서	_	_	I-Manner
7	사버렸다면	사다.v	Commerce_buy	O
8	누구라도	_	_	O
9	찜찜할	_	_	O
10	것입니다.	_	_	O

#anno-id:11523
#text:모두가 정말로 즐거운 듯이 서로 껴안으며 기뻐했습니다.
0	모두가	_	_	B-Experiencer
1	정말로	_	_	B-Circumstances
2	즐거운	_	_	I-Circumstances
3	듯이	_	_	I-Circumstances
4	서로	_	_	I-Circumstances
5	껴안으며	_	_	I-Circumstances
6	기뻐했습니다.	기뻐하다.v	Experiencer_focus	O

#anno-id:11527
#text:철선1 전쟁이 끝난 해의 여름은 더웠다.
0	철선1	_	_	O
1	전쟁이	_	_	B-Time
2	끝난	_	_	I-Time
3	해의	_	_	I-Time
4	여름은	_	_	I-Time
5	더웠다.	덥다.a	Ambient_temperature	O

#anno-id:11529
#text:샤미센의 활이 삐져나온 꾸러미로 시선을 떨구었습니다.
0	샤미센의	_	_	B-Phenomenon
1	활이	_	_	I-Phenomenon
2	삐져나온	_	_	I-Phenomenon
3	꾸러미로	_	_	I-Phenomenon
4	시선을	시선.n	Perception_active	O
5	떨구었습니다.	_	_	O

#anno-id:11535
#text:박쥐도 훌륭한 생물시계를 지니고 있어, 날이 저물었음을 감지하면 동굴에서 나와 먹이를 찾기 시작합니다.
0	박쥐도	_	_	B-Hunter
1	훌륭한	_	_	O
2	생물시계를	_	_	O
3	지니고	_	_	O
4	있어,	_	_	O
5	날이	_	_	O
6	저물었음을	_	_	O
7	감지하면	_	_	O
8	동굴에서	_	_	O
9	나와	_	_	O
10	먹이를	_	_	B-Food
11	찾기	찾다.v	Hunting	O
12	시작합니다.	_	_	O

#anno-id:11546
#text:예를 들면, 홍차를 탔는데, 웬일인지, 커피를 탔다고 착각하게 된다.
0	예를	_	_	O
1	들면,	_	_	O
2	홍차를	_	_	O
3	탔는데,	_	_	O
4	웬일인지,	_	_	O
5	커피를	_	_	B-Action
6	탔다고	_	_	I-Action
7	착각하게	착각하다.v	Bungling	O
8	된다.	_	_	O

#anno-id:11547
#text:동양의 제자들은, 스승이 바람을 알고 있었기에, 그 해 초겨울에 교토의 치안을 담당하던 쇼시다이에게 해부를 신청했다.
0	동양의	_	_	O
1	제자들은,	_	_	O
2	스승이	_	_	B-Experiencer
3	바람을	바람.n	Desiring	O
4	알고	_	_	O
5	있었기에,	_	_	O
6	그	_	_	O
7	해	_	_	O
8	초겨울에	_	_	O
9	교토의	_	_	O
10	치안을	_	_	O
11	담당하던	_	_	O
12	쇼시다이에게	_	_	O
13	해부를	_	_	O
14	신청했다.	_	_	O

#anno-id:11549
#text:동양의 제자들은, 스승이 원하던 바를 알고 있었기에, 그 해 초겨울에 교토의 치안을 담당하던 쇼시다이에게 해부를 신청했다.
0	동양의	_	_	B-Student
1	제자들은,	_	_	I-Student
2	스승이	스승.n	Education_teaching	B-Teacher
3	원하던	_	_	O
4	바를	_	_	O
5	알고	_	_	O
6	있었기에,	_	_	O
7	그	_	_	O
8	해	_	_	O
9	초겨울에	_	_	O
10	교토의	_	_	O
11	치안을	_	_	O
12	담당하던	_	_	O
13	쇼시다이에게	_	_	O
14	해부를	_	_	O
15	신청했다.	_	_	O

#anno-id:11553
#text:동양의 제자들은, 스승이 원하던 바를 알고 있었기에, 그 해 초겨울에 교토의 치안을 담당하던 쇼시다이에게 해부를 신청했다.
0	동양의	_	_	O
1	제자들은,	_	_	O
2	스승이	_	_	O
3	원하던	_	_	O
4	바를	_	_	O
5	알고	_	_	O
6	있었기에,	_	_	O
7	그	_	_	O
8	해	_	_	O
9	초겨울에	_	_	O
10	교토의	_	_	B-Governed
11	치안을	_	_	O
12	담당하던	담당하다.v	Leadership	O
13	쇼시다이에게	_	_	B-Leader
14	해부를	_	_	O
15	신청했다.	_	_	O

#anno-id:11557
#text:인터넷에서 알아보아도 완성된 시스템만 검색될 뿐, 개개의 부품에 관해서는 어떠한 설명도 찾을 수 없다.
0	인터넷에서	_	_	O
1	알아보아도	_	_	O
2	완성된	완성되다.v	Activity_finish	O
3	시스템만	_	_	B-Activity
4	검색될	_	_	O
5	뿐,	_	_	O
6	개개의	_	_	O
7	부품에	_	_	O
8	관해서는	_	_	O
9	어떠한	_	_	O
10	설명도	_	_	O
11	찾을	_	_	O
12	수	_	_	O
13	없다.	_	_	O

#anno-id:11558
#text:인터넷에서 알아보아도 완성된 시스템만 검색될 뿐, 개개의 부품에 관해서는 어떠한 설명도 찾을 수 없다.
0	인터넷에서	_	_	B-Field
1	알아보아도	알아보다.v	Research	O
2	완성된	_	_	O
3	시스템만	_	_	O
4	검색될	_	_	O
5	뿐,	_	_	O
6	개개의	_	_	O
7	부품에	_	_	O
8	관해서는	_	_	O
9	어떠한	_	_	O
10	설명도	_	_	O
11	찾을	_	_	O
12	수	_	_	O
13	없다.	_	_	O

#anno-id:11578
#text:1 계발활동・학습회 현장에서는, 아이들의 특징을 이해하는 것과, 상황에 적합한 구체적인 대응책이 요구됩니다.
0	1	_	_	O
1	계발활동・학습회	활동.n	Activity	B-Activity
2	현장에서는,	_	_	O
3	아이들의	_	_	O
4	특징을	_	_	O
5	이해하는	_	_	O
6	것과,	_	_	O
7	상황에	_	_	O
8	적합한	_	_	O
9	구체적인	_	_	O
10	대응책이	_	_	O
11	요구됩니다.	_	_	O

#anno-id:11580
#text:1 계발활동・학습회 현장에서는, 아이들의 특징을 이해하는 것과, 상황에 적합한 구체적인 대응책이 요구됩니다.
0	1	_	_	O
1	계발활동・학습회	_	_	O
2	현장에서는,	_	_	B-User
3	아이들의	_	_	O
4	특징을	_	_	O
5	이해하는	_	_	O
6	것과,	_	_	O
7	상황에	_	_	B-Evaluee
8	적합한	적합하다.a	Suitability	O
9	구체적인	_	_	O
10	대응책이	_	_	O
11	요구됩니다.	_	_	O

#anno-id:11584
#text:기후는 사계절의 변화가 뚜렷하며, 여름은 상당히 무덥다.
0	기후는	_	_	O
1	사계절의	_	_	O
2	변화가	_	_	O
